Model,Macro f1-score,Accuracy
resnet18_barlow_twins,0.9094142116074693,0.9105431309904153
resnet34_imagenet,0.9077839170950632,0.9105431309904153
resnet34_barlow_twins,0.9150662258793262,0.9169329073482428
ae,0.792174941476443,0.7987220447284346
lr,0.9146562214521905,0.9169329073482428
lda,0.8852477112800189,0.8881789137380192
SVM,0.9043190977774835,0.9073482428115016
RF,0.9010179099597102,0.9041533546325878
xgb,0.9014961289039645,0.9041533546325878
deepflow,0.9080814964355766,0.9105431309904153
resnet18_imagenet,0.9026990128796908,0.9041533546325878
resnet18_barlow_twins,0.9149217100744258,0.9169329073482428
resnet34_imagenet,0.9237446920567796,0.9265175718849841
resnet34_barlow_twins,0.904049260745486,0.9073482428115016
ae,0.7961485068881105,0.8019169329073482
lr,0.9236455036090325,0.9265175718849841
lda,0.9040640104308587,0.9073482428115016
SVM,0.9337165234555889,0.9361022364217252
RF,0.8983290520311358,0.9009584664536742
xgb,0.9243244611241472,0.9265175718849841
deepflow,0.8904929122958146,0.89171974522293
resnet18_imagenet,0.9001904698229143,0.9012738853503185
resnet18_barlow_twins,0.9060594556645754,0.9076433121019108
resnet34_imagenet,0.9203384530700378,0.9235668789808917
resnet34_barlow_twins,0.9086273500205923,0.910828025477707
ae,0.809451301144953,0.8152866242038217
lr,0.8888939908190638,0.89171974522293
lda,0.8833493520000331,0.8853503184713376
SVM,0.905426117904188,0.9076433121019108
RF,0.911095690756458,0.9140127388535032
xgb,0.9172727396699211,0.9203821656050956
deepflow,0.9093269744417335,0.910828025477707
resnet18_imagenet,0.9059540874925253,0.9076433121019108
resnet18_barlow_twins,0.9057873306585145,0.9076433121019108
resnet34_imagenet,0.9057328733015851,0.9076433121019108
resnet34_barlow_twins,0.895265049854353,0.8980891719745223
ae,0.7702691159607817,0.7770700636942676
lr,0.8993609452635591,0.9012738853503185
lda,0.8851502321122735,0.8885350318471338
SVM,0.8986642654337774,0.9012738853503185
RF,0.8984640195106101,0.9012738853503185
xgb,0.9150144465523739,0.9171974522292994
deepflow,0.8826955792192355,0.8849840255591054
resnet18_imagenet,0.8782587362780663,0.8817891373801917
resnet18_barlow_twins,0.888151870510545,0.8913738019169329
resnet34_imagenet,0.8922128905377031,0.8945686900958466
resnet34_barlow_twins,0.8896925676292966,0.8945686900958466
ae,0.7758942348362218,0.7859424920127795
lr,0.876597330301034,0.8817891373801917
lda,0.8665908620944649,0.8690095846645367
SVM,0.8745299850909319,0.8785942492012779
RF,0.9012371040690402,0.9041533546325878
xgb,0.9180879636285832,0.9201277955271565
deepflow,0.9313027695699417,0.9329073482428115
resnet18_imagenet,0.9180283909453091,0.9201277955271565
resnet18_barlow_twins,0.9299217876690522,0.9329073482428115
resnet34_imagenet,0.917414148004507,0.9201277955271565
resnet34_barlow_twins,0.9200096050940103,0.9233226837060703
ae,0.7983747323582938,0.805111821086262
lr,0.9045022793554737,0.9073482428115016
lda,0.8622756960056149,0.865814696485623
SVM,0.9049513817118999,0.9073482428115016
RF,0.9014477823164173,0.9041533546325878
xgb,0.927264651762588,0.9297124600638977
deepflow,0.8992900956361711,0.9009584664536742
resnet18_imagenet,0.8983224748053424,0.9009584664536742
resnet18_barlow_twins,0.9258460820728016,0.9265175718849841
resnet34_imagenet,0.9180931505351426,0.9201277955271565
resnet34_barlow_twins,0.9257735088115953,0.9265175718849841
ae,0.7875760471083374,0.792332268370607
lr,0.9127317154744881,0.9137380191693291
lda,0.852684501206101,0.8562300319488818
SVM,0.8956659782858402,0.8977635782747604
RF,0.8859754868247552,0.8881789137380192
xgb,0.9087769629480893,0.9105431309904153
deepflow,0.9112909844131347,0.9140127388535032
resnet18_imagenet,0.9087922484261921,0.910828025477707
resnet18_barlow_twins,0.9086511983032168,0.910828025477707
resnet34_imagenet,0.9073853681643678,0.910828025477707
resnet34_barlow_twins,0.913523588209309,0.9171974522292994
ae,0.8114937250163538,0.821656050955414
lr,0.8876867343041865,0.89171974522293
lda,0.8752868459674352,0.8789808917197452
SVM,0.9035217874471702,0.9076433121019108
RF,0.9012267527247251,0.9044585987261147
xgb,0.9144380603377132,0.9171974522292994
deepflow,0.8967533750411507,0.8980891719745223
resnet18_imagenet,0.8984418152761933,0.9012738853503185
resnet18_barlow_twins,0.9116541943113684,0.9140127388535032
resnet34_imagenet,0.8996065983185679,0.9012738853503185
resnet34_barlow_twins,0.9051865573384846,0.9076433121019108
ae,0.7820790171083987,0.7898089171974523
lr,0.8871061984507366,0.8885350318471338
lda,0.8727828175964077,0.8726114649681529
SVM,0.8865977938308144,0.8885350318471338
RF,0.9076198366459012,0.910828025477707
xgb,0.9152649423140594,0.9171974522292994
deepflow,0.9021207788679142,0.9041533546325878
resnet18_imagenet,0.8868749779650672,0.8881789137380192
resnet18_barlow_twins,0.9099965045821065,0.9105431309904153
resnet34_imagenet,0.8950370808787943,0.8977635782747604
resnet34_barlow_twins,0.8834462546529451,0.8849840255591054
ae,0.7815382721532912,0.7859424920127795
lr,0.9219079249232879,0.9233226837060703
lda,0.8523678856332668,0.8562300319488818
SVM,0.8989203830396192,0.9009584664536742
RF,0.9049448524821201,0.9073482428115016
xgb,0.9182972320356915,0.9201277955271565
deepflow,0.9137464846076604,0.9137380191693291
resnet18_imagenet,0.9070313117927176,0.9073482428115016
